Links,,
"(Symposium report) Transforming Educational Systems at Scale for 21st Century Skills: Ensuring Equity Amidst Change -- with Umesh Bedkute (editors). Leadership for Equity, Dec 2024.",https://drive.google.com/file/d/13VH2Z-rNp22Em5XHmAcIlhPFoaiQI6Pg/view?usp=sharing,
(Reflection papers) Rethinking Educational Transformation: Systems Change for a Better Future,https://drive.google.com/file/d/1BACYzht2gzJcVH72yRIqWYiTw_TnDgDt/view?usp=sharing,
,,
Reports,Link,Link 2
Developing Children’s Scale for Social-Emotional Learning (CHISSEL),https://www.flame.edu.in/pdfs/conferences/developing-childrens-scale-for-social-emotional-learning-chissel.pdf,https://www.leadershipforequity.org/research/developing-children%E2%80%99s-scale-for-social-emotional-learning-(chissel)
"Study on Status of Decentralised In-Service Teacher Training (Review and Analysis)
",https://www.leadershipforequity.org/research/study-on-status-of-decentralized-in-service-teacher-training,
Challenges to Implementation of Mother Tongue as Medium of Instruction in India: A Case Study of Maharashtra,https://www.leadershipforequity.org/research/challenges-to-implementation-of-mother-tongue-as-medium-of-instruction-in-india%3A-a-case-study-of-maharashtra,
"Surviving in a crisis: Distress of Migrants left behind during Lockdown in Pune",https://www.flame.edu.in/pdfs/faculty-publications/Distress-of-Migrants-in-Pune.pdf,
"Impact of COVID-19 Lockdown 2021 on Unorganized & Migrant Workers in Pune
",[[Remove this ]],
"District Human Development Report of Ahmedabad
",https://www.researchgate.net/publication/304495557_District_Human_Development_Report-Ahmedabad,
Evaluation of Pratham Open School Education (POSE) and Pratham Supported Schools (PSS) in Gujarat and Rajasthan blocks: 2013- 2014,https://drive.google.com/file/d/1mVAgYCed_G_1hSRwq3Q_a6YPY0oethrD/view?usp=sharing,
,,
Papers,,
"From Colonial Legacy to Contemporary Times: Characterizing District Proliferation in India","(under review, so no draft can be put online)",
"Assessing the gaps in family-school engagement using conversation starter tools: Insights from Tripura, India",https://www.tandfonline.com/doi/full/10.1080/1045988X.2026.2650780,
,published in Preventing School Failure: Alternative Education for Children and Youth ,
Applying text mining tools to understand constitutional diffusion: The Indian Constitution and its antecedent drafts,https://drive.google.com/file/d/1dB9rOkxi72UtyPxB3aqd9SPD7O4aw0od/view?usp=sharing,ADD
,(Working Draft; In reveiw at Modern Asian Studies),
