India-Total-1970,India-Male-1970,India-Female-1970,India-Total-2020,India-Male-2020,India-Female-2020
86444,44417,42027,118581,61734,56847
73774,38160,35614,123565,64602,58963
65544,34005,31539,127379,66714,60665
56595,29425,27170,131146,68750,62396
43828,22625,21203,126746,66502,60244
36765,18841,17924,121026,63186,57840
34039,17381,16657,114531,59596,54936
30493,15708,14785,103629,53887,49741
26736,14032,12704,90373,46735,43638
23024,12097,10927,79375,40677,38698
19621,10218,9403,68677,34948,33728
16122,8277,7845,58943,29842,29101
12895,6559,6336,48645,24391,24253
8893,4551,4342,37310,18414,18896
6141,3060,3081,23868,11412,12456
2991,1492,1499,14769,6764,8005
1486,710,776,8636,3762,4874
472,225,247,276,623,889
