Japan-Total-1970,Japan-Male-1970,Japan-Female-1970,Japan-Total-2020,Japan-Male-2020,Japan-Female-2020
8776.0,4501.0,4275.0,4629.0,2375.0,2254.0
8044.0,4114.0,3929.0,5245.0,2697.0,2548.0
7999.0,4082.0,3917.0,5561.0,2861.0,2700.0
9283.0,4681.0,4602.0,5889.0,3028.0,2861.0
11385.0,5679.0,5705.0,6056.0,3093.0,2963.0
9360.0,4690.0,4670.0,6051.0,3088.0,2963.0
8755.0,4394.0,4360.0,6497.0,3310.0,3187.0
8486.0,4268.0,4218.0,7309.0,3696.0,3612.0
7612.0,3802.0,3810.0,8507.0,4292.0,4214.0
6170.0,2832.0,3338.0,10007.0,5054.0,4953.0
4900.0,2172.0,2728.0,8642.0,4391.0,4251.0
4533.0,2071.0,2462.0,7874.0,3993.0,3881.0
3873.0,1796.0,2077.0,7513.0,3769.0,3744.0
3029.0,1401.0,1628.0,8282.0,4076.0,4205.0
2218.0,988.0,1231.0,9503.0,4509.0,4994.0
1313.0,544.0,769.0,7055.0,3197.0,3857.0
672.0,247.0,426.0,5519.0,2315.0,3204.0
303.0,91.0,212.0,697.0,620.0,565.0
