Age Group,ASDR (United States),Proportion of Population (United States),ASDR (Venezuela),Proportion of Population (Venezuela)
<1,0.00654,0.0139,0.01623,0.0219
1-4,0.00029,0.0548,0.00064,0.08
5-9,0.00014,0.0675,0.00032,0.1038
10-14,0.00018,0.0719,0.00041,0.1023
15-19,0.00064,0.0724,0.00146,0.1012
20-24,0.00091,0.0702,0.00238,0.0925
25-29,0.0009,0.0671,0.00221,0.0842
30-34,0.00106,0.0679,0.00203,0.0726
35-39,0.00153,0.0706,0.00215,0.0688
40-44,0.00231,0.0766,0.00289,0.063
45-49,0.00341,0.0757,0.00411,0.0515
50-54,0.00493,0.0675,0.00568,0.0437
55-59,0.00742,0.0575,0.00775,0.0346
60-64,0.0115,0.0437,0.01173,0.0251
65-69,0.0178,0.0339,0.01877,0.018
70-74,0.02771,0.0284,0.02838,0.0136
75-79,0.0435,0.0248,0.0427,0.0097
80-84,0.06958,0.0187,0.07531,0.0053
85-89,0.11056,0.0107,0.12769,0.0024
90-94,0.17477,0.0045,0.2082,0.0007
95-99,0.27656,0.0013,0.32576,0.0001
100+,0.43892,0.0003,0.48975,0.0001
