Location,Year,RU_Grid,Rural IMR,Urban IMR
Andaman & Nicobar Islands,1990,Rural,42,46.29999924
Andaman & Nicobar Islands,1991,Rural,31.5,23
Andaman & Nicobar Islands,1992,Rural,32.59999847,6.300000191
Andaman & Nicobar Islands,1993,Rural,54.59999847,7.300000191
Andaman & Nicobar Islands,1994,Rural,10.80000019,27.20000076
Andaman & Nicobar Islands,1995,Rural,37.59999847,29.79999924
Andaman & Nicobar Islands,1996,Rural,36.59999847,6.599999905
Andaman & Nicobar Islands,1997,Rural,41.79999924,12
Andaman & Nicobar Islands,1998,Rural,35.20000076,6.5
Andaman & Nicobar Islands,1999,Rural,17.10000038,5.5
Andaman & Nicobar Islands,2000,Rural,16.60000038,15.60000038
Andaman & Nicobar Islands,2001,Rural,6.400000095,7.300000191
Andaman & Nicobar Islands,2002,Rural,27.29999924,7.300000191
Andaman & Nicobar Islands,2003,Rural,22.70000076,14.60000038
Andaman & Nicobar Islands,2004,Rural,29.5,13.80000019
Andaman & Nicobar Islands,2005,Rural,30.20000076,17.79999924
Andaman & Nicobar Islands,2006,Rural,35.5,21.10000038
Andaman & Nicobar Islands,2007,Rural,36.20000076,17.5
Andaman & Nicobar Islands,2008,Rural,34.70000076,22.60000038
Andaman & Nicobar Islands,2009,Rural,30.5,20.5
Andaman & Nicobar Islands,2010,Rural,29.39999962,18.10000038
Andaman & Nicobar Islands,2011,Rural,27.89999962,14.10000038
Andaman & Nicobar Islands,2012,Rural,30.79999924,12.30000019
Andaman & Nicobar Islands,2013,Rural,29.5,12.80000019
Andhra Pradesh,1971,Rural,115,65
Andhra Pradesh,1972,Rural,128,65
Andhra Pradesh,1973,Rural,115,61
Andhra Pradesh,1974,Rural,120,70
Andhra Pradesh,1975,Rural,130,81
Andhra Pradesh,1976,Rural,127,97
Andhra Pradesh,1977,Rural,136,62
Andhra Pradesh,1978,Rural,127,66
Andhra Pradesh,1979,Rural,114,65
Andhra Pradesh,1980,Rural,103,40
Andhra Pradesh,1981,Rural,93,52
Andhra Pradesh,1982,Rural,86,50
Andhra Pradesh,1983,Rural,83,54
Andhra Pradesh,1984,Rural,81,66
Andhra Pradesh,1985,Rural,90,57
Andhra Pradesh,1986,Rural,87,59
Andhra Pradesh,1987,Rural,84,58
Andhra Pradesh,1988,Rural,89,63
Andhra Pradesh,1989,Rural,88,53
Andhra Pradesh,1990,Rural,73,56
Andhra Pradesh,1991,Rural,77,56
Andhra Pradesh,1992,Rural,78,42
Andhra Pradesh,1993,Rural,70,46
Andhra Pradesh,1994,Rural,69,52
Andhra Pradesh,1995,Rural,74,43
Andhra Pradesh,1996,Rural,73,38
Andhra Pradesh,1997,Rural,70,37
Andhra Pradesh,1998,Rural,75,38
Andhra Pradesh,1999,Rural,75,37
Andhra Pradesh,2000,Rural,74,36
Andhra Pradesh,2001,Rural,74,40
Andhra Pradesh,2002,Rural,71,35
Andhra Pradesh,2003,Rural,67,33
Andhra Pradesh,2004,Rural,65,39
Andhra Pradesh,2005,Rural,63,39
Andhra Pradesh,2006,Rural,62,38
Andhra Pradesh,2007,Rural,60,37
Andhra Pradesh,2008,Rural,58,36
Andhra Pradesh,2009,Rural,54,35
Andhra Pradesh,2010,Rural,51,33
Andhra Pradesh,2011,Rural,47,31
Andhra Pradesh,2012,Rural,46,30
Andhra Pradesh,2013,Rural,44,29
Andhra Pradesh,2014,Rural,43,28
Andhra Pradesh,2015,Rural,41,26
Andhra Pradesh,2016,Rural,38,24
Andhra Pradesh,2017,Rural,36,23
Andhra Pradesh,2018,Rural,33,21
Andhra Pradesh,2019,Rural,28,19
Andhra Pradesh,2020,Rural,26,18
Andhra Pradesh,2021,Rural,24,16
Andhra Pradesh,2022,Rural,23,15
Andhra Pradesh,2023,Rural,21,14
Arunachal Pradesh,1991,Rural,67.09999847,27.20000076
Arunachal Pradesh,1992,Rural,46.20000076,22.5
Arunachal Pradesh,1993,Rural,68,8.199999809
Arunachal Pradesh,1994,Rural,41,29.60000038
Arunachal Pradesh,1995,Rural,54.20000076,11.10000038
Arunachal Pradesh,1996,Rural,40.29999924,0
Arunachal Pradesh,1997,Rural,52.40000153,41.09999847
Arunachal Pradesh,1998,Rural,49.59999847,11.80000019
Arunachal Pradesh,1999,Rural,37.40000153,0
Arunachal Pradesh,2000,Rural,41.70000076,11.10000038
Arunachal Pradesh,2001,Rural,34,11.60000038
Arunachal Pradesh,2002,Rural,39.29999924,11.89999962
Arunachal Pradesh,2003,Rural,27.10000038,11.80000019
Arunachal Pradesh,2004,Rural,44.40000153,26.70000076
Arunachal Pradesh,2005,Rural,39.5,16.60000038
Arunachal Pradesh,2006,Rural,44.09999847,19.39999962
Arunachal Pradesh,2007,Rural,34,11.10000038
Arunachal Pradesh,2008,Rural,33.90000153,19.20000076
Arunachal Pradesh,2009,Rural,35.29999924,13.80000019
Arunachal Pradesh,2010,Rural,34.20000076,11.89999962
Arunachal Pradesh,2011,Rural,35.79999924,9.5
Arunachal Pradesh,2012,Rural,37.40000153,12.69999981
Arunachal Pradesh,2013,Rural,35.70000076,14.19999981
Assam,1971,Rural,144,73
Assam,1972,Rural,140,95
Assam,1973,Rural,140,83
Assam,1974,Rural,138,113
Assam,1975,Rural,147,96
Assam,1976,Rural,126,100
Assam,1977,Rural,116,95
Assam,1978,Rural,120,86
Assam,1979,Rural,107,60
Assam,1980,Rural,105,64
Assam,1981,Rural,107,76
Assam,1982,Rural,103,72
Assam,1983,Rural,95,70
Assam,1984,Rural,100,77
Assam,1985,Rural,112,96
Assam,1986,Rural,111,69
Assam,1987,Rural,104,69
Assam,1988,Rural,101,66
Assam,1989,Rural,93,63
Assam,1990,Rural,78,39
Assam,1991,Rural,83,42
Assam,1992,Rural,83,50
Assam,1993,Rural,84,60
Assam,1994,Rural,78,76
Assam,1995,Rural,78,59
Assam,1996,Rural,79,37
