,,"2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"nMx - age-specific death rate between ages x and x+n","<1 year","0.028345843","0.028394244","0.028292625","0.037615641","0.037225724","0.038046547","0.046026873","0.045410469","0.046701221","0.05830424","0.057264233","0.059463561","0.069968978","0.069792657","0.070164932"
"nMx - age-specific death rate between ages x and x+n","1-4 years","0.001559223","0.001395897","0.001739006","0.002227126","0.001938525","0.002544783","0.003429004","0.002890052","0.004026597","0.004986946","0.004185149","0.005884433","0.006767999","0.005575009","0.008102986"
"nMx - age-specific death rate between ages x and x+n","5-9 years","0.000558316","0.000499887","0.000622759","0.000705935","0.000614714","0.000806961","0.001014719","0.000856078","0.001192741","0.001399327","0.001174645","0.001651583","0.001829716","0.001507041","0.002190405"
"nMx - age-specific death rate between ages x and x+n","10-14 years","0.000542428","0.000536767","0.000548713","0.000635364","0.000654413","0.000613991","0.000796127","0.000844293","0.000742005","0.000972969","0.000969288","0.000977087","0.001135781","0.001105599","0.001169139"
"nMx - age-specific death rate between ages x and x+n","15-19  years","0.000838727","0.000791719","0.000891582","0.000900884","0.000892463","0.000910352","0.001241184","0.001167705","0.001323508","0.001550686","0.001424367","0.001690481","0.00176906","0.001538984","0.002022062"
"nMx - age-specific death rate between ages x and x+n","20-24 years","0.001301223","0.001366967","0.001227268","0.001261674","0.001346547","0.001166474","0.001847532","0.001883579","0.001807544","0.0020468","0.002004761","0.002093147","0.002450855","0.00224131","0.002679125"
"nMx - age-specific death rate between ages x and x+n","25-29 years","0.001498421","0.001682876","0.001292115","0.001491111","0.001663917","0.001299541","0.002193029","0.00246902","0.001888643","0.002432247","0.002624106","0.002223116","0.002906433","0.002984428","0.002821756"
"nMx - age-specific death rate between ages x and x+n","30-34 years","0.00190733","0.00230895","0.001464455","0.001950714","0.00233904","0.001523991","0.002495229","0.002898294","0.002057333","0.002886865","0.003403323","0.002327837","0.003230321","0.003547753","0.002885028"
"nMx - age-specific death rate between ages x and x+n","35-39 years","0.002547802","0.003189601","0.001848584","0.002680753","0.003338424","0.001971209","0.003355274","0.004270764","0.002370889","0.003476825","0.004289628","0.002598088","0.00385929","0.004616162","0.003033208"
"nMx - age-specific death rate between ages x and x+n","40-44 years","0.003358957","0.004058797","0.002611712","0.003537235","0.004150668","0.002883625","0.004044952","0.00515822","0.002852466","0.004346719","0.005444806","0.003159077","0.004588201","0.005529304","0.003558998"
