"Age", "Male", "Female"
"0-4", 2225369, 2098740
"5-9", 2523146, 2366704
"10-14", 2818882, 2643972
"15-19", 2907703, 2741304
"20-24", 2959709, 2734617
"25-29", 3241954, 2870499
"30-34", 3223959, 2992419
"35-39", 3330915, 3356873
"40-44", 3716172, 3855664
"45-49", 4061264, 4242905
"50-54", 4661806, 4787178
"55-59", 4137786, 4194765
"60-64", 3786508, 3803381
"65-69", 3540461, 3624488
"70-74", 3778769, 4091396
"75-79", 3817391, 4469007
"80-84", 2598013, 3489966
"85-89", 1478342, 2500444
"90-94", 636831, 1509885
"95-99", 155857, 557846
"100 + ", 17581, 113962
