IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0001,,,,,,0.000105991,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,EUR,Europe,Country,FRA,France,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0001,,,,,,0.000108742,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0001,,,,,,0.000110896,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,AMR,Americas,Country,USA,United States of America,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0001,,,,,,0.000122231,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0001,,,,,,0.000128494,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,AMR,Americas,Country,USA,United States of America,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0001,,,,,,0.000128753,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0001,,,,,,0.000131587,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,WPR,Western Pacific,Country,JPN,Japan,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,15-19  years,AGEGROUP_AGE15-19,,,,,,,0.0001,,,,,,0.000131825,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,EUR,Europe,Country,ITA,Italy,Year,2015,FALSE,Sex,Male,SEX_MLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0001,,,,,,0.000140719,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,WPR,Western Pacific,Country,CHN,China,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,10-14 years,AGEGROUP_AGE10-14,,,,,,,0.0001,,,,,,0.000143695,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,EUR,Europe,Country,FRA,France,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0001,,,,,,0.000144567,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,AMR,Americas,Country,CUB,Cuba,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,5-9 years,AGEGROUP_AGE5-9,,,,,,,0.0001,,,,,,0.000146299,,,EN,2020-12-05T18:30:00.000Z
LIFE_0000000029,nMx - age-specific death rate between ages x and x+n,numeric,WPR,Western Pacific,Country,AUS,Australia,Year,2015,FALSE,Sex,Female,SEX_FMLE,Age Group,1-4 years,AGEGROUP_AGE1-4,,,,,,,0.0001,,,,,,0.000149262,,,EN,2020-12-05T18:30:00.000Z
