Appendix Table S11. All cause probability of death before age 70 by location and sex,,,,,,,,
Location Name,Sex,1990,2000,2010,2019,2023,"Percent Change from 2000 to 2023, 0 to 70",
Global,Male,50.4%,46.4%,39.5%,34.4%,34.2%,-26.4%,
"   Central Europe, Eastern Europe, and Central Asia",Male,52.4%,57.4%,50.0%,42.0%,41.5%,-27.6%,
      Central Asia,Male,52.7%,53.3%,48.1%,40.5%,38.2%,-28.3%,
         Armenia,Male,45.9%,41.3%,39.8%,32.3%,27.0%,-34.5%,
         Azerbaijan,Male,53.6%,49.7%,41.8%,37.6%,37.6%,-24.3%,
         Georgia,Male,50.6%,48.1%,48.2%,43.0%,42.0%,-12.7%,
         Kazakhstan,Male,56.8%,63.4%,56.4%,43.5%,39.7%,-37.4%,
         Kyrgyzstan,Male,54.0%,55.7%,51.3%,37.5%,32.6%,-41.4%,
         Mongolia,Male,62.0%,60.6%,59.4%,48.5%,48.3%,-20.3%,
         Tajikistan,Male,49.1%,44.8%,36.5%,32.7%,37.1%,-17.2%,
         Turkmenistan,Male,54.2%,54.0%,48.7%,48.6%,45.9%,-14.9%,
         Uzbekistan,Male,48.6%,49.2%,45.4%,40.5%,37.9%,-23.0%,
      Central Europe,Male,47.8%,43.5%,37.6%,33.7%,32.2%,-26.1%,
         Albania,Male,37.7%,29.3%,22.0%,23.2%,20.8%,-29.0%,
         Bosnia and Herzegovina,Male,42.4%,35.4%,31.9%,30.9%,29.4%,-16.8%,
         Bulgaria,Male,44.7%,45.4%,40.8%,37.6%,36.8%,-19.0%,
         Croatia,Male,44.3%,39.5%,33.1%,28.7%,28.8%,-27.0%,
         Czechia,Male,48.5%,37.8%,31.3%,26.6%,25.0%,-33.7%,
         Hungary,Male,54.5%,50.1%,42.9%,37.7%,36.7%,-26.8%,
         Montenegro,Male,37.8%,38.9%,35.2%,30.5%,31.0%,-20.1%,
         North Macedonia,Male,39.5%,38.5%,32.6%,31.3%,27.5%,-28.6%,
         Poland,Male,49.5%,43.3%,37.6%,33.8%,31.6%,-27.1%,
         Romania,Male,45.8%,46.2%,41.8%,38.9%,38.1%,-17.4%,
         Serbia,Male,47.0%,44.8%,37.5%,32.3%,31.5%,-29.8%,
         Slovakia,Male,51.5%,45.4%,38.5%,32.1%,30.6%,-32.6%,
         Slovenia,Male,43.9%,36.8%,26.9%,21.7%,21.0%,-43.0%,
      Eastern Europe,Male,54.4%,64.3%,57.2%,46.5%,47.0%,-26.9%,
         Belarus,Male,50.5%,59.9%,57.8%,45.9%,45.5%,-24.0%,
         Estonia,Male,54.2%,54.3%,42.0%,33.4%,32.9%,-39.5%,
         Latvia,Male,54.1%,55.3%,48.5%,40.6%,42.6%,-22.8%,
         Lithuania,Male,51.2%,50.5%,50.8%,41.0%,39.0%,-22.6%,
         Republic of Moldova,Male,51.7%,52.3%,52.7%,43.8%,41.8%,-20.1%,
         Russian Federation,Male,55.9%,66.7%,58.5%,46.8%,47.4%,-28.9%,
         Ukraine,Male,51.7%,60.3%,54.4%,46.6%,47.9%,-20.5%,
   High-income,Male,33.4%,27.8%,23.2%,21.3%,21.9%,-21.3%,
      Australasia,Male,30.9%,23.2%,18.3%,16.6%,15.9%,-31.6%,
         Australia,Male,30.5%,22.9%,18.2%,16.4%,15.4%,-32.6%,
         New Zealand,Male,32.8%,25.0%,19.1%,17.5%,18.2%,-27.1%,
      High-income Asia Pacific,Male,29.7%,25.1%,20.1%,16.1%,16.1%,-36.0%,
         Brunei Darussalam,Male,39.3%,33.1%,27.6%,25.1%,25.3%,-23.4%,
         Japan,Male,25.2%,22.7%,18.9%,16.0%,16.5%,-27.4%,
         Singapore,Male,35.0%,25.8%,17.7%,12.9%,13.4%,-47.9%,
         Republic of Korea,Male,46.2%,33.8%,23.7%,16.5%,15.5%,-54.3%,
      High-income North America,Male,35.0%,30.0%,26.0%,25.9%,27.1%,-9.6%,
