"Appendix Table S12. Global, top 100 causes by age-standardised death rate per 100,000 - 1990, 2019, 2021, 2023, and the percent change between years",,,,,,,,
Cause Name,1990,2019,1990-2019,2021,2019-2021,2023,2021-2023,1990-2023
Ischemic heart disease,161.41 (146.95-172.63),101.4 (92.95-108.16),-37.18%,102.94 (94.35-109.49),1.52%,99.8 (89.86-108.44),-3.05%,-38.17%
Stroke,157.16 (141.07-171.32),80.46 (73.87-87.13),-48.8%,79.55 (72.2-86.47),-1.12%,75.95 (67.76-83.55),-4.53%,-51.68%
Total cancers,151.39 (143.5-159.72),113.15 (104.94-118.39),-25.26%,114.78 (107.25-120.38),1.44%,115.62 (106.3-122.11),0.73%,-23.63%
Total Cancers excluding Non-melanoma skin cancer,150.71 (142.87-158.97),112.46 (104.31-117.65),-25.38%,114.07 (106.6-119.64),1.43%,114.89 (105.68-121.32),0.72%,-23.77%
Diarrheal diseases,67.37 (55.64-85.55),16.88 (13.36-22.55),-74.95%,15.26 (11.87-20.62),-9.57%,14.16 (10.65-19.23),-7.2%,-78.98%
Lower respiratory infections,60.67 (54.56-66.67),34.22 (31.08-37.96),-43.6%,27.46 (24.42-31.25),-19.75%,31.56 (28.3-35.28),14.93%,-47.98%
Chronic obstructive pulmonary disease,52.42 (41.57-60.13),38.78 (33.61-46.16),-26.02%,34.47 (29.17-41.86),-11.13%,38.42 (33.18-45.77),11.48%,-26.71%
Neonatal disorders,49.9 (46.84-52.95),27.66 (26.15-29.12),-44.56%,27.25 (25.55-28.88),-1.49%,26.68 (24.68-28.64),-2.12%,-46.55%
Tuberculosis,42.59 (32.43-54.2),14.22 (11.79-17.7),-66.62%,12.41 (10.36-15.31),-12.71%,11.65 (9.24-14.41),-6.16%,-72.66%
"Tracheal, bronchus, and lung cancer",27.81 (26.14-30.79),21.89 (19.81-23.44),-21.3%,22.15 (20.14-23.76),1.2%,22.21 (20.21-24.09),0.28%,-20.14%
Alzheimer's disease and other dementias,24.44 (5.92-63.09),25.32 (6.34-62.83),3.58%,25.58 (6.4-63.96),1.05%,25.86 (6.4-62.7),1.09%,5.8%
Road injuries,23.75 (18.97-28.42),15.74 (12.51-18.04),-33.71%,16.31 (12.68-18.9),3.6%,16.09 (12.5-18.99),-1.35%,-32.25%
Stomach cancer,23.34 (20.58-26.5),10.45 (9.15-11.98),-55.21%,10.37 (9.07-11.87),-0.79%,10.3 (8.76-11.93),-0.7%,-55.88%
Cirrhosis and other chronic liver diseases,23.28 (19.87-26.62),15.32 (13.68-17.05),-34.16%,14.9 (13.21-16.66),-2.76%,14.29 (12.7-15.98),-4.12%,-38.62%
Hypertensive heart disease,21.23 (15.78-25.94),16.47 (13.23-19.44),-22.42%,16.89 (13.57-20.17),2.54%,16.79 (13.36-20.67),-0.57%,-20.9%
Measles,18.08 (7.78-30.41),1.85 (0.8-3.29),-89.78%,1.07 (0.44-2.12),-42.3%,2.21 (0.9-3.93),107.33%,-87.77%
Diabetes mellitus,18.03 (15.43-20.85),21.5 (18.81-24.18),19.22%,22.3 (19.42-25.25),3.7%,22.13 (18.68-25.47),-0.77%,22.68%
