"Apppendix Table S13. Global, top 100 Causes by Age Standardised YLLs per 100,000 - 1990, 2019, 2021, 2023, and the percent change between years",,,,,,,,
Cause Name,1990,2019,1990-2019,2021,2019-2021,2023,2021-2023,1990-2023
Neonatal disorders,4487.83 (4212.32-4761.58),2487.87 (2351.44-2618.71),-44.56%,2450.72 (2297.99-2596.92),-1.49%,2398.92 (2219.71-2575.38),-2.11%,-46.55%
Total cancers,4015.58 (3824.42-4225.73),2861.37 (2724.02-2987.08),-28.74%,2933.14 (2795.37-3065.41),2.51%,2950.38 (2789.14-3094.1),0.59%,-26.53%
Total Cancers excluding Non-melanoma skin cancer,4001.75 (3810.96-4210.58),2848.21 (2712.19-2973.2),-28.83%,2919.53 (2781.71-3051.66),2.5%,2936.58 (2777.03-3078.54),0.58%,-26.62%
Diarrheal diseases,3668.65 (2957.74-4542.25),852.24 (656.1-1079.11),-76.77%,790.53 (596.79-1026.28),-7.24%,705.95 (531.12-931.43),-10.7%,-80.76%
Lower respiratory infections,3458.13 (3002.26-3957.07),1503.41 (1323.46-1709.64),-56.53%,1167.18 (1017.04-1354.51),-22.36%,1391.9 (1215.76-1601.73),19.25%,-59.75%
Stroke,3150.6 (2789.76-3463.44),1636.19 (1506.95-1799.67),-48.07%,1630.94 (1486.11-1793.54),-0.32%,1552.46 (1381.06-1713.18),-4.81%,-50.73%
Ischemic heart disease,3131.92 (2892.42-3381.51),2030.39 (1885.6-2176.65),-35.17%,2087.69 (1927.14-2232.03),2.82%,2019.98 (1852.73-2212.83),-3.24%,-35.5%
Tuberculosis,1610.4 (1232.23-2088.46),537.96 (436.93-691.54),-66.59%,483.35 (394.57-615.82),-10.15%,455.23 (349.33-570.13),-5.82%,-71.73%
Measles,1566.39 (675.58-2630.26),160.45 (69.83-285.3),-89.76%,92.71 (37.83-184.13),-42.22%,191.93 (78.2-341.19),107.03%,-87.75%
Road injuries,1225.69 (971.11-1458.14),807.89 (638.19-940.12),-34.09%,836.08 (649.47-981.66),3.49%,826.93 (636.78-987.23),-1.09%,-32.53%
Malaria,1041.94 (524.41-1864.59),680.6 (298.44-1180.28),-34.68%,759.82 (320.72-1341.33),11.64%,732.09 (280.53-1358.09),-3.65%,-29.74%
Congenital birth defects,1011.36 (819.86-1252.92),714.93 (575.45-884.43),-29.31%,763.65 (597.53-935.3),6.81%,753.65 (586.8-956.58),-1.31%,-25.48%
Chronic obstructive pulmonary disease,979.47 (765.24-1131.25),670.59 (585.38-791.23),-31.54%,594.72 (500.75-706.02),-11.31%,659.68 (563.74-788.48),10.92%,-32.65%
Cirrhosis and other chronic liver diseases,769.74 (655.03-889.27),504.71 (447.5-568.56),-34.43%,494.18 (429.87-555.76),-2.09%,473.16 (413.01-535.64),-4.25%,-38.53%
"Tracheal, bronchus, and lung cancer",690.12 (649.01-764.62),494.19 (453.22-533.54),-28.39%,499.92 (456.59-543.41),1.16%,499.45 (453.83-544.26),-0.09%,-27.63%
