Appendix Table S14. Mean age of death correlation with SDI by Cause-Sex,,,,,,,,
cause_name,level,sex,r2 Observed,slope Observed,p Observed,r2 Observed vs Expected,slope Observed vs Expected,p Observed vs Expected
All causes,0,Male,0.8,75.3,<.0001,0.36,16.51,<.0001
All causes,0,Both,0.8,79.36,<.0001,0.32,16.12,<.0001
All causes,0,Female,0.81,83.94,<.0001,0.28,16.78,<.0001
"Communicable, maternal, neonatal, and nutritional diseases",1,Male,0.74,107.08,<.0001,0.24,23.27,<.0001
"Communicable, maternal, neonatal, and nutritional diseases",1,Female,0.72,113.59,<.0001,0.24,25.57,<.0001
"Communicable, maternal, neonatal, and nutritional diseases",1,Both,0.73,110.25,<.0001,0.23,23.81,<.0001
HIV/AIDS and sexually transmitted infections,2,Female,0.36,40.91,<.0001,0.023,8.26,0.018
HIV/AIDS and sexually transmitted infections,2,Both,0.39,37.5,<.0001,0.0052,3.34,0.27
HIV/AIDS and sexually transmitted infections,2,Male,0.38,35.48,<.0001,<.0001,0.07,0.98
HIV/AIDS,3,Female,0.25,15.14,<.0001,0.1,-8.66,<.0001
HIV/AIDS,3,Male,0.38,19.38,<.0001,0.038,-4.77,0.0026
HIV/AIDS,3,Both,0.36,18.42,<.0001,0.053,-5.68,0.00034
Sexually transmitted infections excluding HIV,3,Both,0.55,124.6,<.0001,0.46,94.09,<.0001
Sexually transmitted infections excluding HIV,3,Male,0.48,114.8,<.0001,0.41,95.52,<.0001
Sexually transmitted infections excluding HIV,3,Female,0.56,125.87,<.0001,0.44,85.78,<.0001
Respiratory infections and tuberculosis,2,Female,0.72,98.2,<.0001,0.037,8.61,0.0028
Respiratory infections and tuberculosis,2,Both,0.73,92.09,<.0001,0.047,8.72,0.00075
Respiratory infections and tuberculosis,2,Male,0.73,86.78,<.0001,0.068,9.75,<.0001
Tuberculosis,3,Both,0.63,52.18,<.0001,0.028,5.96,0.0094
Tuberculosis,3,Female,0.66,60.92,<.0001,0.03,6.97,0.0075
Tuberculosis,3,Male,0.6,46.96,<.0001,0.046,6.83,0.00088
Lower respiratory infections,3,Male,0.69,98.96,<.0001,0.022,7.23,0.021
Lower respiratory infections,3,Both,0.68,101.56,<.0001,0.0085,4.84,0.16
Lower respiratory infections,3,Female,0.67,104.75,<.0001,0.0048,3.96,0.29
Upper respiratory infections,3,Male,0.51,81.62,<.0001,0.016,9.6,0.048
Upper respiratory infections,3,Female,0.54,93.5,<.0001,0.0086,7.62,0.15
Upper respiratory infections,3,Both,0.51,85.93,<.0001,0.0057,6.14,0.24
Otitis media,3,Both,0.47,64.43,<.0001,0.042,-14.4,0.0015
