Appendix Table S18. Percent of Global Conflict and Terror Deaths by Region-Sex from 1995 to 2023,,,
location_name,Percentage of all Conflict and Terror for all sexes,Percentage of all Conflict and Terror for males,Percentage of all Conflict and Terror for females
East Asia,0.1 (0.1-0.1),0.1 (0.1-0.1),0.1 (0.1-0.1)
Southeast Asia,5.1 (4.8-5.5),5.0 (4.7-5.3),5.7 (5.4-6.1)
Oceania,0.0 (0.0-0.0),0.0 (0.0-0.0),0.0 (0.0-0.0)
Central Asia,0.7 (0.6-0.7),0.7 (0.6-0.7),0.7 (0.6-0.7)
Central Europe,1.3 (1.2-1.3),1.3 (1.1-1.3),1.4 (1.3-1.5)
Eastern Europe,7.9 (6.6-8.9),8.0 (6.6-9.1),7.5 (6.3-8.3)
High-income Asia Pacific,0.0 (0.0-0.0),0.0 (0.0-0.0),0.0 (0.0-0.0)
Australasia,0.0 (0.0-0.0),0.0 (0.0-0.0),0.0 (0.0-0.0)
Western Europe,0.2 (0.2-0.2),0.2 (0.2-0.2),0.2 (0.2-0.2)
Southern Latin America,0.0 (0.0-0.0),0.0 (0.0-0.0),0.0 (0.0-0.0)
High-income North America,0.4 (0.4-0.4),0.4 (0.4-0.4),0.4 (0.4-0.5)
Caribbean,0.1 (0.1-0.1),0.1 (0.1-0.1),0.1 (0.1-0.1)
Andean Latin America,0.0 (0.0-0.0),0.0 (0.0-0.0),0.0 (0.0-0.0)
Central Latin America,1.4 (1.2-1.6),1.4 (1.2-1.6),1.5 (1.2-1.6)
Tropical Latin America,0.0 (0.0-0.0),0.0 (0.0-0.0),0.0 (0.0-0.0)
North Africa and Middle East,51.9 (46.2-54.5),52.0 (46.3-54.7),51.3 (45.9-53.9)
South Asia,3.6 (3.5-3.8),3.7 (3.5-3.8),3.5 (3.3-3.6)
Central Sub-Saharan Africa,5.9 (5.4-6.1),5.9 (5.4-6.1),5.9 (5.4-6.1)
Eastern Sub-Saharan Africa,14.8 (13.6-20.4),14.8 (13.5-20.4),14.9 (13.7-20.3)
Southern Sub-Saharan Africa,0.1 (0.1-0.1),0.1 (0.1-0.1),0.1 (0.1-0.1)
Western Sub-Saharan Africa,6.4 (5.8-6.6),6.3 (5.7-6.6),6.7 (6.1-6.9)
