Appendix table S1. Total number of site years by cause and source type for GBD2023,,,,,,,,,,
Cause,Level,Vital Registration,Vital Registration - Sample,Verbal Autopsy,Surveillance,Survey/Census,Sibling History,MITS diagnosed,Cancer Registry,Police or Forensic Medicine Reports
All causes,0,21174,953,3629,4815,1597,7137,10,2631,1616
"Communicable, maternal, neonatal, and nutritional diseases",1,21174,953,3564,3399,1570,7137,10,,
HIV/AIDS and sexually transmitted infections,2,20251,953,931,416,,,9,,
HIV/AIDS,3,20251,953,913,416,,,9,,
HIV/AIDS - Drug-susceptible Tuberculosis,4,11703,576,,11,,,1,,
HIV/AIDS - Multidrug-resistant Tuberculosis without extensive drug resistance,4,11699,576,,,,,,,
HIV/AIDS - Extensively drug-resistant Tuberculosis,4,11699,576,,,,,,,
HIV/AIDS resulting in other diseases,4,16515,576,,58,,,9,,
Sexually transmitted infections excluding HIV,3,19742,953,386,352,,,6,,
Syphilis,4,19239,953,,352,,,6,,
Chlamydial infection,4,17455,953,,,,,,,
Gonococcal infection,4,18920,953,,,,,,,
Other sexually transmitted infections,4,18674,953,,,,,,,
Respiratory infections and tuberculosis,2,20261,953,2217,681,,,10,,
Tuberculosis,3,20261,953,2140,676,,,9,,
Drug-susceptible tuberculosis,4,12272,576,,675,,,9,,
Multidrug-resistant tuberculosis without extensive drug resistance,4,11699,576,,,,,,,
Lower respiratory infections,3,20261,953,2177,681,,,10,,
Influenza,4,16067,576,,,,,3,,
Pneumococcal pneumonia,4,16060,576,,,,,7,,
H influenzae type B pneumonia,4,16060,576,,,,,1,,
Respiratory syncytial virus pneumonia,4,16060,576,,,,,5,,
Other lower respiratory infections,4,16060,576,,,,,10,,
Upper respiratory infections,3,17473,953,,,,,2,,
Otitis media,3,17970,953,,,,,,,
COVID-19,3,1324,64,63,,,,1,,
Enteric infections,2,20261,953,2176,575,,,10,,
Diarrheal diseases,3,20261,953,2171,575,,,10,,
Typhoid and paratyphoid,3,20217,953,434,,,,,,
Typhoid fever,4,17382,576,,,,,,,
Paratyphoid fever,4,17304,576,,,,,,,
Invasive Non-typhoidal Salmonella (iNTS),3,17130,953,,,,,2,,
Other intestinal infectious diseases,3,17127,576,,,,,,,
Neglected tropical diseases and malaria,2,20265,953,1891,384,,,7,,
Malaria,3,20168,953,1800,1,,,7,,
Chagas disease,3,3576,,,,,,,,
Leishmaniasis,3,18889,953,187,,,,,,
Visceral leishmaniasis,4,18398,953,187,,,,,,
African trypanosomiasis,3,16640,576,,,,,,,
Schistosomiasis,3,17483,576,,,,,,,
Cysticercosis,3,17578,953,,,,,,,
Cystic echinococcosis,3,18038,953,,,,,,,
Dengue,3,19285,953,618,1,,,,,
Yellow fever,3,16963,576,150,,,,,,
Rabies,3,19913,953,1202,352,,,3,,
Intestinal nematode infections,3,18630,953,338,,,,2,,
Ascariasis,4,17156,953,,,,,2,,
Ebola,3,494,72,,30,,,,,
Zika virus,3,11333,953,,,,,,,
Other neglected tropical diseases,3,17528,953,,,,,1,,
Other infectious diseases,2,20261,953,2093,1011,,,10,,
Meningitis,3,19747,953,1846,611,,,9,,
Encephalitis,3,19455,953,687,,,,5,,
Diphtheria,3,19712,953,,,,,,,
Pertussis,3,19752,953,589,,,,5,,
Tetanus,3,19754,953,1389,396,,,,,
Measles,3,19748,953,1483,585,,,3,,
Varicella and herpes zoster,3,18620,953,575,,,,1,,
Acute hepatitis,3,19136,953,1453,,,,,,
Acute hepatitis A,4,16519,576,,,,,,,
Acute hepatitis B,4,16519,576,,,,,,,
Acute hepatitis C,4,11699,576,,,,,,,
Acute hepatitis E,4,16512,576,,,,,,,
Other unspecified infectious diseases,3,20257,953,1451,989,,,10,,
Maternal and neonatal disorders,2,21167,953,3350,3017,1570,7137,10,,
Maternal disorders,3,21165,953,2834,2335,1569,7137,,,
Maternal hemorrhage,4,18685,953,1150,990,23,,,,
Maternal sepsis and other maternal infections,4,18684,953,856,875,19,,,,
Maternal hypertensive disorders,4,18692,953,1021,980,21,,,,
Maternal obstructed labor and uterine rupture,4,18685,953,878,849,12,,,,
Maternal abortion and miscarriage,4,18704,953,378,849,15,,,,
Ectopic pregnancy,4,18084,953,,829,2,,,,
Indirect maternal deaths,4,18685,953,944,1051,20,,,,
Late maternal deaths,4,13027,953,,152,,,,,
Maternal deaths aggravated by HIV/AIDS,4,21165,953,2834,2335,1569,7137,,,
Other direct maternal disorders,4,18685,953,349,930,16,,,,
Neonatal disorders,3,19704,951,2055,682,1,,10,,
Neonatal preterm birth,4,18082,951,963,681,,,10,,
Neonatal encephalopathy due to birth asphyxia and trauma,4,18083,951,959,681,,,10,,
Neonatal sepsis and other neonatal infections,4,18070,951,,634,,,10,,
Hemolytic disease and other neonatal jaundice,4,18066,951,,,,,8,,
Other neonatal disorders,4,18069,951,427,664,,,7,,
Nutritional deficiencies,2,19407,953,1723,,,,10,,
Protein-energy malnutrition,3,18616,953,1713,,,,10,,
Dietary iron deficiency,3,,,741,,,,,,
Other nutritional deficiencies,3,18073,953,,,,,,,
Non-communicable diseases,1,19716,953,2181,756,,,10,2631,64
Neoplasms,2,19696,953,1795,723,,,7,2631,
Lip and oral cavity cancer,3,18901,953,404,,,,,1408,
Nasopharynx cancer,3,18901,953,,,,,,1322,
Other pharynx cancer,3,18901,953,186,,,,,1206,
Esophageal cancer,3,19187,953,508,,,,,1219,
Stomach cancer,3,19189,953,187,,,,,1204,
