Appendix Table S2. Reported number of Covid deaths before and after Covid misclassification correction,,,,,,,,,
Country,2020,,2021,,2022,,Total (All Years),,
,Deaths Prior to Correction,Deaths After Correction,Deaths Prior to Correction,Deaths After Correction,Deaths Prior to Correction,Deaths After Correction,Total Covid After Correction,Total Miscoded Covid,Percent Miscoded Covid
United States of America,355772,424827,421179,480018,188797,227033,1131879,166130,14.7%
Russian Federation,145750,251504,466047,589999,138661,171152,1012656,262196,25.9%
Brazil,223166,230151,441528,462024,70313,92278,784453,49445,6.3%
Mexico,200961,326719,239636,343591,38731,64364,734674,255344,34.8%
Philippines,30890,34817,117590,206167,18875,52068,293053,125697,42.9%
Poland,43890,57893,94976,128819,30408,35156,221869,52594,23.7%
Colombia,51639,62627,91392,110540,13533,27161,200329,43764,21.9%
Germany,40943,41186,74026,76598,54215,82119,199903,30718,15.4%
United Kingdom,82731,83210,75249,75838,23085,23477,182526,1460,0.8%
Italy,79751,97998,64920,74575,No Data,No Data,172574,27902,16.2%
Argentina,55924,56104,88535,94978,No Data,No Data,151083,6623,4.4%
Japan,3313,3451,17181,52051,48996,89720,145224,75732,52.2%
Spain,76548,79083,40944,43440,No Data,No Data,122523,5030,4.1%
Peru,95228,109789,No Data,No Data,No Data,No Data,109789,14561,13.3%
Ecuador,23942,39443,21347,27808,3236,7783,75035,26509,35.3%
France,73891,74447,No Data,No Data,No Data,No Data,74447,556,0.8%
Canada,16615,17314,14959,16818,20585,25399,59532,7371,12.4%
Kazakhstan,4902,19333,15284,40189,No Data,No Data,59522,39335,66.1%
Tunisia,3360,16303,20571,40305,No Data,No Data,56609,32677,57.7%
Serbia,11226,12834,29940,32995,8761,10156,55986,6058,10.8%
Chile,22689,22792,28732,30467,No Data,No Data,53260,1838,3.5%
Guatemala,8670,14476,15960,29667,2262,8040,52184,25290,48.5%
Netherlands,21097,21406,20723,20948,8816,9574,51929,1292,2.5%
Cuba,144,3079,7852,44691,No Data,No Data,47770,39773,83.3%
Bulgaria,8790,11952,28182,34176,No Data,No Data,46129,9156,19.9%
Hungary,9006,9980,24827,27217,7423,8344,45542,4284,9.4%
Czechia,10784,11681,25555,26687,No Data,No Data,38368,2028,5.3%
Slovakia,3749,5308,14465,19705,No Data,No Data,25014,6799,27.2%
Belgium,23012,23127,No Data,No Data,No Data,No Data,23127,114,0.5%
Bosnia and Herzegovina,4935,5594,11420,12647,3822,4007,22249,2071,9.3%
Paraguay,2750,2842,16603,19195,No Data,No Data,22037,2684,12.2%
Ukraine (only Crimea and Sevastopol),1408,2823,6860,12752,2262,4695,20271,9739,48.1%
Sweden,9786,9917,5498,5559,3649,4038,19515,580,3.0%
Georgia,2906,3976,12626,14464,No Data,No Data,18440,2907,15.8%
Armenia,3569,6323,5428,8569,819,1486,16379,6563,40.1%
Switzerland,9827,9958,6313,6381,No Data,No Data,16340,199,1.2%
Austria,6597,7048,8060,9020,No Data,No Data,16069,1411,8.8%
Lebanon,3393,8458,5767,7503,No Data,No Data,15962,6801,42.6%
Australia,915,939,1145,1372,10072,12944,15256,3121,20.5%
Lithuania,2294,2838,7099,7926,2628,4007,14772,2749,18.6%
Nicaragua,176,6269,52,7976,No Data,No Data,14246,14017,98.4%
Croatia,4495,4791,8574,9070,No Data,No Data,13862,792,5.7%
Republic of Korea,984,1426,5256,11470,No Data,No Data,12897,6656,51.6%
North Macedonia,3354,4052,6489,8340,No Data,No Data,12393,2548,20.6%
Costa Rica,2314,2561,5299,5745,No Data,No Data,8306,692,8.3%
Oman,2582,2684,4658,4772,No Data,No Data,7456,215,2.9%
Norway,441,805,868,1689,2967,4421,6916,2639,38.2%
Puerto Rico,1434,1666,1469,2098,2011,3083,6848,1932,28.2%
Latvia,706,802,4382,5637,No Data,No Data,6440,1350,21.0%
Saudi Arabia,No Data,No Data,5039,5039,911,911,5950,0,0.0%
Palestine,1262,1347,4214,4555,No Data,No Data,5903,426,7.2%
Greece,5065,5583,No Data,No Data,No Data,No Data,5583,517,9.3%
Estonia,204,321,1781,2412,910,1505,4240,1344,31.7%
Singapore,29,72,812,1363,1124,2606,4042,2076,51.4%
Panama,No Data,No Data,3694,3694,No Data,No Data,3694,0,0.0%
Slovenia,3434,3551,No Data,No Data,No Data,No Data,3551,116,3.3%
Israel,3325,3546,No Data,No Data,No Data,No Data,3546,221,6.3%
Mauritius,10,88,807,1684,251,1289,3062,1992,65.1%
Mongolia,No Data,3,2016,2466,142,308,2778,619,22.3%
Ireland,1948,2344,No Data,No Data,No Data,No Data,2344,396,16.9%
Finland,562,681,963,1284,No Data,No Data,1966,439,22.4%
Denmark,1221,1259,54,114,No Data,No Data,1374,98,7.2%
Luxembourg,479,502,436,483,226,285,1271,129,10.2%
United Arab Emirates,1055,1224,No Data,No Data,No Data,No Data,1224,168,13.8%
Cyprus,133,239,616,908,No Data,No Data,1148,398,34.7%
Qatar,213,277,380,447,102,254,979,282,28.9%
Malaysia,408,423,No Data,No Data,No Data,No Data,423,14,3.5%
Guam,112,135,117,145,87,120,401,84,21.0%
Iceland,29,53,6,22,215,243,319,68,21.4%
Grenada,No Data,43,214,266,No Data,No Data,309,95,30.8%
Uruguay,213,287,No Data,No Data,No Data,No Data,287,74,25.8%
Malta,191,253,No Data,No Data,No Data,No Data,253,61,24.4%
China (only Hong Kong),125,125,70,70,No Data,No Data,196,0,0.0%
United States Virgin Islands,19,34,58,75,32,45,155,44,28.7%
Antigua and Barbuda,No Data,5,104,119,No Data,No Data,124,20,16.2%
Northern Mariana Islands,2,2,8,28,19,35,66,36,56.0%
Micronesia (Federated States of),No Data,3,No Data,5,24,36,45,20,46.5%
Saint Vincent and the Grenadines,No Data,10,No Data,28,No Data,No Data,38,38,99.9%
Papua New Guinea,No Data,No Data,No Data,No Data,22,22,22,0,0.0%
Saint Lucia,No Data,16,No Data,No Data,No Data,No Data,16,16,100.0%
