"Appendix Table S3. Top causes containing misclassified COVID-19 (reported) by location, 2020-2022",,,,
Location Name,Cause Name,Amount of miscoded Covid deaths,Percent of total miscoded Covid deaths,Percent of total Covid (miscoded and reported)
Global,Ischemic heart disease,476816,34.1%,7.3%
Global,All Remaining Causes,186496,13.3%,2.8%
Global,Lower respiratory infections,178953,12.8%,2.7%
Global,Diabetes mellitus,163724,11.7%,2.5%
Global,Stroke,112394,8.0%,1.7%
Global,Hypertensive heart disease,90414,6.5%,1.4%
Global,Chronic kidney disease,62887,4.5%,1.0%
Global,Cirrhosis and other chronic liver diseases,39575,2.8%,0.6%
Global,Alzheimer's disease and other dementias,37761,2.7%,0.6%
Global,Urinary diseases and male infertility,27035,1.9%,0.4%
Global,"Endocrine, metabolic, blood, and immune disorders",23716,1.7%,0.4%
Antigua and Barbuda,Chronic obstructive pulmonary disease,5,26.9%,4.3%
Antigua and Barbuda,All Remaining Causes,4,18.6%,3.0%
Antigua and Barbuda,Cervical cancer,2,11.3%,1.8%
Antigua and Barbuda,Ovarian cancer,2,10.1%,1.6%
Antigua and Barbuda,Lower extremity peripheral arterial disease,2,8.7%,1.4%
Antigua and Barbuda,Other cardiovascular and circulatory diseases,2,7.9%,1.3%
Antigua and Barbuda,Brain and central nervous system cancer,1,4.1%,0.7%
Antigua and Barbuda,Asthma,1,4.0%,0.6%
Antigua and Barbuda,Urinary diseases and male infertility,1,3.3%,0.5%
Antigua and Barbuda,Lip and oral cavity cancer,1,2.7%,0.4%
Antigua and Barbuda,Esophageal cancer,0,2.5%,0.4%
Argentina,Ischemic heart disease,3033,45.8%,2.0%
Argentina,Lower respiratory infections,1315,19.9%,0.9%
Argentina,Atrial fibrillation and flutter,631,9.5%,0.4%
Argentina,Diabetes mellitus,394,5.9%,0.3%
Argentina,Parkinson's disease,391,5.9%,0.3%
Argentina,Hypertensive heart disease,387,5.8%,0.3%
Argentina,All Remaining Causes,213,3.2%,0.1%
Argentina,Other chronic respiratory diseases,90,1.4%,0.1%
Argentina,Pancreatitis,67,1.0%,0.0%
Argentina,Stomach cancer,57,0.9%,0.0%
Argentina,Other cardiovascular and circulatory diseases,46,0.7%,0.0%
Armenia,Ischemic heart disease,4053,61.8%,24.7%
Armenia,Chronic obstructive pulmonary disease,973,14.8%,5.9%
Armenia,Lower respiratory infections,439,6.7%,2.7%
Armenia,Diabetes mellitus,416,6.3%,2.5%
Armenia,All Remaining Causes,256,3.9%,1.6%
Armenia,Interstitial lung disease and pulmonary sarcoidosis,120,1.8%,0.7%
Armenia,Prostate cancer,87,1.3%,0.5%
Armenia,Cardiomyopathy and myocarditis,78,1.2%,0.5%
Armenia,Urinary diseases and male infertility,51,0.8%,0.3%
Armenia,Cervical cancer,46,0.7%,0.3%
Armenia,Atrial fibrillation and flutter,43,0.7%,0.3%
Australia,Alzheimer's disease and other dementias,781,25.0%,5.1%
Australia,Chronic kidney disease,538,17.2%,3.5%
Australia,All Remaining Causes,407,13.0%,2.7%
Australia,Atrial fibrillation and flutter,328,10.5%,2.2%
Australia,Hypertensive heart disease,211,6.8%,1.4%
Australia,Diabetes mellitus,211,6.8%,1.4%
Australia,Parkinson's disease,195,6.2%,1.3%
Australia,Stroke,160,5.1%,1.0%
Australia,Multiple myeloma,106,3.4%,0.7%
Australia,Cirrhosis and other chronic liver diseases,93,3.0%,0.6%
Australia,"Endocrine, metabolic, blood, and immune disorders",92,2.9%,0.6%
Austria,Chronic kidney disease,596,42.2%,3.7%
Austria,"Endocrine, metabolic, blood, and immune disorders",315,22.3%,2.0%
Austria,Diabetes mellitus,136,9.6%,0.8%
Austria,Atrial fibrillation and flutter,84,5.9%,0.5%
Austria,All Remaining Causes,79,5.6%,0.5%
Austria,Parkinson's disease,61,4.3%,0.4%
Austria,Non-rheumatic valvular heart disease,34,2.4%,0.2%
Austria,Soft tissue and other extraosseous sarcomas,32,2.3%,0.2%
Austria,Malignant skin melanoma,31,2.2%,0.2%
Austria,Rheumatic heart disease,22,1.5%,0.1%
Austria,Upper digestive system diseases,22,1.5%,0.1%
Belgium,Parkinson's disease,58,50.6%,0.3%
Belgium,Hypertensive heart disease,23,20.2%,0.1%
Belgium,Idiopathic epilepsy,13,11.7%,0.1%
Belgium,Bacterial skin diseases,6,4.8%,0.0%
Belgium,Gallbladder and biliary diseases,5,3.9%,0.0%
Belgium,Other skin and subcutaneous diseases,3,2.7%,0.0%
Belgium,Other chronic respiratory diseases,3,2.5%,0.0%
Belgium,Larynx cancer,2,1.4%,0.0%
Belgium,Decubitus ulcer,1,0.8%,0.0%
Belgium,Dietary iron deficiency,1,0.8%,0.0%
Belgium,All Remaining Causes,1,0.6%,0.0%
Bosnia and Herzegovina,Ischemic heart disease,729,35.2%,3.3%
Bosnia and Herzegovina,Lower respiratory infections,491,23.7%,2.2%
Bosnia and Herzegovina,Diabetes mellitus,207,10.0%,0.9%
Bosnia and Herzegovina,Cardiomyopathy and myocarditis,173,8.4%,0.8%
Bosnia and Herzegovina,Other cardiovascular and circulatory diseases,155,7.5%,0.7%
Bosnia and Herzegovina,All Remaining Causes,113,5.4%,0.5%
Bosnia and Herzegovina,Atrial fibrillation and flutter,64,3.1%,0.3%
Bosnia and Herzegovina,Parkinson's disease,51,2.5%,0.2%
Bosnia and Herzegovina,Non-melanoma skin cancer,33,1.6%,0.2%
Bosnia and Herzegovina,Diarrheal diseases,30,1.4%,0.1%
Bosnia and Herzegovina,Chronic kidney disease,25,1.2%,0.1%
Brazil,Stroke,18578,37.6%,2.4%
Brazil,Diabetes mellitus,12458,25.2%,1.6%
Brazil,Alzheimer's disease and other dementias,4141,8.4%,0.5%
Brazil,All Remaining Causes,3563,7.2%,0.5%
Brazil,Parkinson's disease,3305,6.7%,0.4%
Brazil,"Endocrine, metabolic, blood, and immune disorders",2090,4.2%,0.3%
Brazil,HIV/AIDS,1536,3.1%,0.2%
Brazil,Idiopathic epilepsy,1135,2.3%,0.1%
Brazil,Chronic obstructive pulmonary disease,1042,2.1%,0.1%
Brazil,Cirrhosis and other chronic liver diseases,887,1.8%,0.1%
Brazil,Atrial fibrillation and flutter,711,1.4%,0.1%
Bulgaria,Hypertensive heart disease,3183,34.8%,6.9%
Bulgaria,Ischemic heart disease,2863,31.3%,6.2%
Bulgaria,Lower respiratory infections,1396,15.2%,3.0%
Bulgaria,Stroke,921,10.1%,2.0%
Bulgaria,Parkinson's disease,337,3.7%,0.7%
Bulgaria,Diabetes mellitus,285,3.1%,0.6%
Bulgaria,Cervical cancer,64,0.7%,0.1%
Bulgaria,All Remaining Causes,57,0.6%,0.1%
Bulgaria,Other cardiovascular and circulatory diseases,19,0.2%,0.0%
Bulgaria,Paralytic ileus and intestinal obstruction,18,0.2%,0.0%
Bulgaria,Rheumatic heart disease,12,0.1%,0.0%
Canada,Ischemic heart disease,4020,54.5%,6.8%
Canada,Cirrhosis and other chronic liver diseases,823,11.2%,1.4%
Canada,Hypertensive heart disease,618,8.4%,1.0%
Canada,Urinary diseases and male infertility,513,7.0%,0.9%
Canada,"Endocrine, metabolic, blood, and immune disorders",367,5.0%,0.6%
Canada,All Remaining Causes,347,4.7%,0.6%
Canada,Parkinson's disease,195,2.6%,0.3%
Canada,Upper digestive system diseases,184,2.5%,0.3%
Canada,Diabetes mellitus,137,1.9%,0.2%
Canada,Non-Hodgkin lymphoma,112,1.5%,0.2%
Canada,Other malignant neoplasms,55,0.7%,0.1%
Chile,Cirrhosis and other chronic liver diseases,624,34.0%,1.2%
Chile,Ischemic heart disease,475,25.8%,0.9%
Chile,Hypertensive heart disease,285,15.5%,0.5%
Chile,Parkinson's disease,158,8.6%,0.3%
Chile,Atrial fibrillation and flutter,124,6.8%,0.2%
Chile,Pancreatitis,52,2.8%,0.1%
Chile,"Endocrine, metabolic, blood, and immune disorders",30,1.6%,0.1%
Chile,Diabetes mellitus,29,1.6%,0.1%
Chile,Cardiomyopathy and myocarditis,26,1.4%,0.0%
Chile,All Remaining Causes,24,1.3%,0.0%
Chile,Inflammatory bowel disease,11,0.6%,0.0%
Colombia,Ischemic heart disease,26014,59.4%,13.0%
Colombia,Diabetes mellitus,5519,12.6%,2.8%
Colombia,Liver cancer,2831,6.5%,1.4%
Colombia,All Remaining Causes,2304,5.3%,1.1%
Colombia,Lower respiratory infections,1580,3.6%,0.8%
Colombia,Urinary diseases and male infertility,1283,2.9%,0.6%
Colombia,Hypertensive heart disease,1053,2.4%,0.5%
Colombia,"Endocrine, metabolic, blood, and immune disorders",1030,2.4%,0.5%
Colombia,Stroke,1011,2.3%,0.5%
Colombia,Upper digestive system diseases,796,1.8%,0.4%
Colombia,Cirrhosis and other chronic liver diseases,342,0.8%,0.2%
Costa Rica,Diabetes mellitus,289,41.7%,3.5%
Costa Rica,"Endocrine, metabolic, blood, and immune disorders",212,30.7%,2.6%
Costa Rica,All Remaining Causes,48,6.9%,0.6%
Costa Rica,Hypertensive heart disease,38,5.5%,0.5%
Costa Rica,Acute glomerulonephritis,24,3.5%,0.3%
Costa Rica,Parkinson's disease,19,2.7%,0.2%
Costa Rica,Breast cancer,18,2.5%,0.2%
Costa Rica,Atrial fibrillation and flutter,16,2.4%,0.2%
Costa Rica,Non-rheumatic valvular heart disease,12,1.8%,0.1%
Costa Rica,Endocarditis,9,1.3%,0.1%
Costa Rica,Nasopharynx cancer,8,1.1%,0.1%
Croatia,Cardiomyopathy and myocarditis,432,54.5%,3.1%
Croatia,Parkinson's disease,77,9.7%,0.6%
Croatia,Non-rheumatic valvular heart disease,73,9.2%,0.5%
Croatia,Lower extremity peripheral arterial disease,58,7.3%,0.4%
Croatia,All Remaining Causes,57,7.2%,0.4%
Croatia,Larynx cancer,24,3.1%,0.2%
Croatia,"Tracheal, bronchus, and lung cancer",17,2.1%,0.1%
Croatia,Multiple sclerosis,16,2.0%,0.1%
Croatia,Appendicitis,15,1.9%,0.1%
Croatia,Malignant neoplasm of bone and articular cartilage,14,1.8%,0.1%
Croatia,Diabetes mellitus,9,1.2%,0.1%
Cuba,Ischemic heart disease,14963,37.6%,31.3%
Cuba,Lower respiratory infections,11979,30.1%,25.1%
Cuba,Stroke,2746,6.9%,5.7%
Cuba,Hypertensive heart disease,2588,6.5%,5.4%
Cuba,All Remaining Causes,1724,4.3%,3.6%
Cuba,Chronic obstructive pulmonary disease,1695,4.3%,3.5%
Cuba,Diabetes mellitus,1364,3.4%,2.9%
Cuba,Alzheimer's disease and other dementias,941,2.4%,2.0%
Cuba,Prostate cancer,787,2.0%,1.6%
Cuba,Atrial fibrillation and flutter,520,1.3%,1.1%
Cuba,Parkinson's disease,466,1.2%,1.0%
Cyprus,Alzheimer's disease and other dementias,112,28.1%,9.8%
Cyprus,Diabetes mellitus,106,26.5%,9.2%
Cyprus,Atrial fibrillation and flutter,44,11.1%,3.8%
Cyprus,Ischemic heart disease,38,9.7%,3.3%
Cyprus,All Remaining Causes,35,8.8%,3.0%
Cyprus,"Tracheal, bronchus, and lung cancer",29,7.4%,2.6%
Cyprus,Endocarditis,9,2.4%,0.8%
Cyprus,Brain and central nervous system cancer,7,1.9%,0.6%
Cyprus,Aortic aneurysm,7,1.9%,0.6%
Cyprus,Inflammatory bowel disease,5,1.2%,0.4%
Cyprus,Cardiomyopathy and myocarditis,5,1.2%,0.4%
Czechia,Diabetes mellitus,812,40.0%,2.1%
Czechia,Parkinson's disease,353,17.4%,0.9%
Czechia,Atrial fibrillation and flutter,248,12.2%,0.6%
Czechia,"Endocrine, metabolic, blood, and immune disorders",155,7.7%,0.4%
Czechia,Chronic kidney disease,141,7.0%,0.4%
Czechia,Non-rheumatic valvular heart disease,104,5.1%,0.3%
Czechia,All Remaining Causes,104,5.1%,0.3%
Czechia,Other cardiovascular and circulatory diseases,33,1.6%,0.1%
Czechia,Soft tissue and other extraosseous sarcomas,29,1.4%,0.1%
Czechia,Other digestive diseases (internal),26,1.3%,0.1%
Czechia,Upper digestive system diseases,23,1.2%,0.1%
Denmark,Lower extremity peripheral arterial disease,23,23.9%,1.7%
Denmark,Stroke,20,20.2%,1.4%
Denmark,Diabetes mellitus,19,19.5%,1.4%
Denmark,Chronic kidney disease,12,12.5%,0.9%
Denmark,Vascular intestinal disorders,8,7.9%,0.6%
Denmark,Decubitus ulcer,5,5.4%,0.4%
Denmark,All Remaining Causes,3,3.5%,0.2%
Denmark,Pancreatitis,3,3.0%,0.2%
Denmark,Other unspecified infectious diseases,2,1.6%,0.1%
Denmark,Gallbladder and biliary diseases,1,1.4%,0.1%
Denmark,Meningitis,1,1.1%,0.1%
Ecuador,Ischemic heart disease,13010,49.1%,17.3%
Ecuador,Diabetes mellitus,5416,20.4%,7.2%
Ecuador,Lower respiratory infections,3296,12.4%,4.4%
Ecuador,All Remaining Causes,1305,4.9%,1.7%
Ecuador,Stroke,1134,4.3%,1.5%
Ecuador,Chronic kidney disease,569,2.1%,0.8%
Ecuador,Parkinson's disease,470,1.8%,0.6%
Ecuador,Atrial fibrillation and flutter,456,1.7%,0.6%
Ecuador,Hypertensive heart disease,372,1.4%,0.5%
Ecuador,"Endocrine, metabolic, blood, and immune disorders",275,1.0%,0.4%
Ecuador,Prostate cancer,207,0.8%,0.3%
Estonia,Hypertensive heart disease,557,41.4%,13.1%
Estonia,Chronic kidney disease,164,12.2%,3.9%
Estonia,Cirrhosis and other chronic liver diseases,139,10.4%,3.3%
Estonia,All Remaining Causes,133,9.9%,3.1%
Estonia,Diabetes mellitus,110,8.2%,2.6%
Estonia,"Endocrine, metabolic, blood, and immune disorders",62,4.6%,1.5%
Estonia,Alzheimer's disease and other dementias,57,4.3%,1.4%
Estonia,Liver cancer,45,3.3%,1.1%
Estonia,Non-rheumatic valvular heart disease,30,2.2%,0.7%
Estonia,Other cardiovascular and circulatory diseases,28,2.1%,0.7%
Estonia,Atrial fibrillation and flutter,18,1.4%,0.4%
Finland,Urinary diseases and male infertility,75,17.1%,3.8%
Finland,All Remaining Causes,70,15.9%,3.6%
Finland,Chronic kidney disease,54,12.3%,2.8%
Finland,Multiple myeloma,44,10.1%,2.2%
Finland,Cirrhosis and other chronic liver diseases,41,9.4%,2.1%
Finland,Ischemic heart disease,39,8.8%,2.0%
Finland,Upper digestive system diseases,33,7.4%,1.7%
Finland,Motor neuron disease,25,5.7%,1.3%
Finland,Paralytic ileus and intestinal obstruction,25,5.6%,1.3%
Finland,Diabetes mellitus,19,4.3%,1.0%
Finland,Gallbladder and biliary diseases,15,3.3%,0.7%
France,Parkinson's disease,328,59.0%,0.4%
