"Appendix Table S5. All age, both sex deaths and mortality rates due to COVID-19 from 2020-2023",,,,,,,,,,,,,
Location Name,Sex,Deaths due to COVID-19,,,,,"COVID-19 Mortality Rate per 100,000",,,,,,
,,2020,2021,2022,2023,2020-2023,2020,2021,2022,2023,2020-2023,,
Global,Male,"3,329,503
(3,203,144 - 3,442,350)","5,467,407
(5,274,720 - 5,650,556)","1,268,881
(1,203,013 - 1,321,036)","443,672
(408,916 - 473,325)","10,509,465
(10,089,795 - 10,887,268)","84.5
(81.3 - 87.3)","137.5
(132.6 - 142.1)","31.6
(30.0 - 32.9)","11.0
(10.1 - 11.7)","66.1
(63.7 - 68.5)",,
Global,Female,"2,135,941
(1,987,963 - 2,257,722)","3,948,812
(3,722,016 - 4,152,477)","1,088,534
(963,999 - 1,159,304)","353,929
(305,621 - 394,805)","7,527,217
(6,979,601 - 7,964,309)","54.7
(50.9 - 57.8)","100.1
(94.3 - 105.3)","27.3
(24.2 - 29.1)","8.8
(7.6 - 9.8)","47.7
(44.4 - 50.2)",,
Global,Both Sex,"5,465,445
(5,221,530 - 5,650,242)","9,416,219
(9,038,926 - 9,700,608)","2,357,415
(2,185,189 - 2,465,814)","797,602
(722,901 - 856,973)","18,036,683
(17,168,547 - 18,673,637)","69.6
(66.5 - 72.0)","118.9
(114.1 - 122.4)","29.5
(27.3 - 30.8)","9.9
(9.0 - 10.6)","57.0
(54.2 - 58.8)",,
"   Central Europe, Eastern Europe, and Central Asia",Male,"313,679
(304,135 - 320,058)","629,971
(612,484 - 641,758)","196,914
(190,321 - 201,881)","25,114
(23,877 - 25,929)","1,165,680
(1,130,819 - 1,189,626)","154.3
(149.6 - 157.5)","309.9
(301.3 - 315.7)","96.9
(93.7 - 99.4)","12.4
(11.8 - 12.8)","143.4
(139.2 - 146.3)",,
"   Central Europe, Eastern Europe, and Central Asia",Female,"278,361
(260,249 - 288,186)","738,068
(696,261 - 762,835)","217,006
(199,714 - 227,798)","27,893
(24,965 - 29,677)","1,261,329
(1,181,190 - 1,308,497)","125.6
(117.4 - 130.0)","333.2
(314.3 - 344.3)","98.1
(90.2 - 102.9)","12.6
(11.3 - 13.5)","142.4
(133.3 - 147.6)",,
"   Central Europe, Eastern Europe, and Central Asia",Both Sex,"592,041
(564,799 - 606,782)","1,368,039
(1,309,963 - 1,399,151)","413,921
(388,669 - 427,544)","53,007
(48,864 - 55,304)","2,427,009
(2,312,295 - 2,488,782)","139.3
(132.9 - 142.8)","322.1
(308.4 - 329.4)","97.5
(91.6 - 100.7)","12.5
(11.5 - 13.1)","142.9
(136.0 - 146.5)",,
      Central Asia,Male,"40,630
(39,142 - 41,927)","60,316
(58,151 - 62,374)","15,592
(14,801 - 16,290)","2,972
(2,794 - 3,135)","119,512
(114,889 - 123,728)","85.6
(82.4 - 88.3)","125.2
(120.7 - 129.5)","31.9
(30.3 - 33.3)","6.0
(5.6 - 6.3)","62.2
(59.9 - 64.3)",,
      Central Asia,Female,"29,754
(28,100 - 31,069)","54,273
(51,410 - 56,646)","13,456
(12,412 - 14,253)","2,534
(2,265 - 2,720)","100,019
(94,188 - 104,690)","61.7
(58.2 - 64.4)","110.9
(105.0 - 115.7)","27.1
(25.0 - 28.8)","5.0
(4.5 - 5.4)","51.2
(48.1 - 53.4)",,
      Central Asia,Both Sex,"70,385
(67,676 - 72,862)","114,589
(110,706 - 118,412)","29,049
(27,537 - 30,271)","5,507
(5,140 - 5,799)","219,531
(211,061 - 227,347)","73.5
(70.7 - 76.1)","118.0
(114.0 - 121.9)","29.5
(28.0 - 30.7)","5.5
(5.1 - 5.8)","56.6
(54.6 - 58.6)",,
