Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
India,2017,All ages,Both,Self-harm and interpersonal violence,Metabolic risks,Deaths,502.6930976,374.3048982,663.3761864
India,2017,All ages,Both,Self-harm and interpersonal violence,Metabolic risks,Percent of total deaths,5.07284E-05,,
India,2017,All ages,Both,Self-harm and interpersonal violence,Metabolic risks,"Deaths per 100,000",0.036412251,0.027112534,0.048051227
India,2017,All ages,Both,Self-harm and interpersonal violence,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Self-harm and interpersonal violence,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Self-harm and interpersonal violence,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Self-harm and interpersonal violence,Behavioral risks,Deaths,50274.73565,33732.31187,68485.4075
India,2017,All ages,Both,Self-harm and interpersonal violence,Behavioral risks,Percent of total deaths,0.005073387,,
India,2017,All ages,Both,Self-harm and interpersonal violence,Behavioral risks,"Deaths per 100,000",3.641618081,2.443378274,4.960696362
India,2017,All ages,Both,Unintentional injuries,Metabolic risks,Deaths,78018.07287,68879.39842,90824.70994
India,2017,All ages,Both,Unintentional injuries,Metabolic risks,Percent of total deaths,0.007873057,,
India,2017,All ages,Both,Unintentional injuries,Metabolic risks,"Deaths per 100,000",5.651188836,4.989234841,6.57882934
India,2017,All ages,Both,Unintentional injuries,Environmental/occupational risks,Deaths,25112.78376,20767.50446,30485.35933
India,2017,All ages,Both,Unintentional injuries,Environmental/occupational risks,Percent of total deaths,0.002534213,,
India,2017,All ages,Both,Unintentional injuries,Environmental/occupational risks,"Deaths per 100,000",1.819028309,1.504280804,2.208187359
India,2017,All ages,Both,Unintentional injuries,Behavioral risks,Deaths,22842.46668,11249.06099,38454.17462
India,2017,All ages,Both,Unintentional injuries,Behavioral risks,Percent of total deaths,0.002305108,,
India,2017,All ages,Both,Unintentional injuries,Behavioral risks,"Deaths per 100,000",1.654579355,0.814818485,2.78540336
India,2017,All ages,Both,Transport injuries,Metabolic risks,Deaths,14688.02278,12792.65144,16088.07743
India,2017,All ages,Both,Transport injuries,Metabolic risks,Percent of total deaths,0.001482216,,
India,2017,All ages,Both,Transport injuries,Metabolic risks,"Deaths per 100,000",1.063917466,0.926627464,1.165329522
India,2017,All ages,Both,Transport injuries,Environmental/occupational risks,Deaths,32779.42991,26931.62181,40092.73278
India,2017,All ages,Both,Transport injuries,Environmental/occupational risks,Percent of total deaths,0.003307879,,
India,2017,All ages,Both,Transport injuries,Environmental/occupational risks,"Deaths per 100,000",2.374356883,1.950774672,2.904091264
India,2017,All ages,Both,Transport injuries,Behavioral risks,Deaths,24873.49226,13359.04961,38451.71542
India,2017,All ages,Both,Transport injuries,Behavioral risks,Percent of total deaths,0.002510065,,
India,2017,All ages,Both,Transport injuries,Behavioral risks,"Deaths per 100,000",1.801695384,0.96765415,2.785225229
India,2017,All ages,Both,Other non-communicable diseases,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Other non-communicable diseases,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Other non-communicable diseases,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Other non-communicable diseases,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Other non-communicable diseases,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Other non-communicable diseases,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Other non-communicable diseases,Behavioral risks,Deaths,623.658882,229.2554829,1247.962169
India,2017,All ages,Both,Other non-communicable diseases,Behavioral risks,Percent of total deaths,6.29354E-05,,
India,2017,All ages,Both,Other non-communicable diseases,Behavioral risks,"Deaths per 100,000",0.045174329,0.016605973,0.090395336
India,2017,All ages,Both,Musculoskeletal disorders,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Musculoskeletal disorders,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Musculoskeletal disorders,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Musculoskeletal disorders,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Musculoskeletal disorders,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Musculoskeletal disorders,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Musculoskeletal disorders,Behavioral risks,Deaths,837.0351704,168.7609277,1636.198161
India,2017,All ages,Both,Musculoskeletal disorders,Behavioral risks,Percent of total deaths,8.44679E-05,,
India,2017,All ages,Both,Musculoskeletal disorders,Behavioral risks,"Deaths per 100,000",0.060630103,0.012224089,0.118516959
India,2017,All ages,Both,Sense organ diseases,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Sense organ diseases,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Sense organ diseases,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Sense organ diseases,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Sense organ diseases,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Sense organ diseases,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Sense organ diseases,Behavioral risks,Deaths,0,0,0
India,2017,All ages,Both,Sense organ diseases,Behavioral risks,Percent of total deaths,0,,
India,2017,All ages,Both,Sense organ diseases,Behavioral risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Skin and subcutaneous diseases,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Skin and subcutaneous diseases,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Skin and subcutaneous diseases,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Skin and subcutaneous diseases,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Skin and subcutaneous diseases,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Skin and subcutaneous diseases,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Skin and subcutaneous diseases,Behavioral risks,Deaths,0,0,0
India,2017,All ages,Both,Skin and subcutaneous diseases,Behavioral risks,Percent of total deaths,0,,
India,2017,All ages,Both,Skin and subcutaneous diseases,Behavioral risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Diabetes and kidney diseases,Metabolic risks,Deaths,478376.0504,451726.9417,498025.8105
India,2017,All ages,Both,Diabetes and kidney diseases,Metabolic risks,Percent of total deaths,0.048274482,,
India,2017,All ages,Both,Diabetes and kidney diseases,Metabolic risks,"Deaths per 100,000",34.65086096,32.72054994,36.07417867
India,2017,All ages,Both,Diabetes and kidney diseases,Environmental/occupational risks,Deaths,69738.10832,51813.92891,80794.64564
India,2017,All ages,Both,Diabetes and kidney diseases,Environmental/occupational risks,Percent of total deaths,0.007037499,,
India,2017,All ages,Both,Diabetes and kidney diseases,Environmental/occupational risks,"Deaths per 100,000",5.051434939,3.753108553,5.852308096
India,2017,All ages,Both,Diabetes and kidney diseases,Behavioral risks,Deaths,95528.37855,77502.17561,114023.5188
India,2017,All ages,Both,Diabetes and kidney diseases,Behavioral risks,Percent of total deaths,0.009640079,,
India,2017,All ages,Both,Diabetes and kidney diseases,Behavioral risks,"Deaths per 100,000",6.919536545,5.613820151,8.259220111
India,2017,All ages,Both,Substance use disorders,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Substance use disorders,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Substance use disorders,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Substance use disorders,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Substance use disorders,Environmental/occupational risks,Percent of total deaths,0,,
India,2017,All ages,Both,Substance use disorders,Environmental/occupational risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Substance use disorders,Behavioral risks,Deaths,39980.37156,30330.14348,44054.46595
India,2017,All ages,Both,Substance use disorders,Behavioral risks,Percent of total deaths,0.004034549,,
India,2017,All ages,Both,Substance use disorders,Behavioral risks,"Deaths per 100,000",2.895952452,2.196944399,3.191056854
India,2017,All ages,Both,Mental disorders,Metabolic risks,Deaths,0,0,0
India,2017,All ages,Both,Mental disorders,Metabolic risks,Percent of total deaths,0,,
India,2017,All ages,Both,Mental disorders,Metabolic risks,"Deaths per 100,000",0,0,0
India,2017,All ages,Both,Mental disorders,Environmental/occupational risks,Deaths,0,0,0
India,2017,All ages,Both,Mental disorders,Environmental/occupational risks,Percent of total deaths,0,,
