Location,Year,Age,Sex,Cause of death or injury,Risk factor,Measure,Value,Lower bound,Upper bound
India,2017,All ages,Both,Self-harm and interpersonal violence,Metabolic risks,YLDs,6663,4767.794394,8875.394122
India,2017,All ages,Both,Self-harm and interpersonal violence,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Self-harm and interpersonal violence,Metabolic risks,"YLDs per 100,000",0,0.345352115,0.642883454
India,2017,All ages,Both,Self-harm and interpersonal violence,Environmental/occupational risks,YLDs,0,0,0
India,2017,All ages,Both,Self-harm and interpersonal violence,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Self-harm and interpersonal violence,Environmental/occupational risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Self-harm and interpersonal violence,Behavioral risks,YLDs,183882,129372.8263,252506.6684
India,2017,All ages,Both,Self-harm and interpersonal violence,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Self-harm and interpersonal violence,Behavioral risks,"YLDs per 100,000",13,9.371037306,18.29015782
India,2017,All ages,Both,Unintentional injuries,Metabolic risks,YLDs,449447,321439.2538,597392.3342
India,2017,All ages,Both,Unintentional injuries,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Unintentional injuries,Metabolic risks,"YLDs per 100,000",33,23.28324523,43.27172879
India,2017,All ages,Both,Unintentional injuries,Environmental/occupational risks,YLDs,477475,326627.1268,660884.0522
India,2017,All ages,Both,Unintentional injuries,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Unintentional injuries,Environmental/occupational risks,"YLDs per 100,000",35,23.65902546,47.87071047
India,2017,All ages,Both,Unintentional injuries,Behavioral risks,YLDs,277715,107749.5571,539869.0091
India,2017,All ages,Both,Unintentional injuries,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Unintentional injuries,Behavioral risks,"YLDs per 100,000",20,7.804769735,39.1050638
India,2017,All ages,Both,Transport injuries,Metabolic risks,YLDs,153415,111325.493,202552.4991
India,2017,All ages,Both,Transport injuries,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Transport injuries,Metabolic risks,"YLDs per 100,000",11,8.063790352,14.67175976
India,2017,All ages,Both,Transport injuries,Environmental/occupational risks,YLDs,246801,168457.2129,341974.3918
India,2017,All ages,Both,Transport injuries,Environmental/occupational risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Transport injuries,Environmental/occupational risks,"YLDs per 100,000",18,12.20208967,24.77069471
India,2017,All ages,Both,Transport injuries,Behavioral risks,YLDs,169402,86381.97209,276310.6978
India,2017,All ages,Both,Transport injuries,Behavioral risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Transport injuries,Behavioral risks,"YLDs per 100,000",12,6.257022487,20.01438735
India,2017,All ages,Both,Other non-communicable diseases,Metabolic risks,YLDs,0,0,0
India,2017,All ages,Both,Other non-communicable diseases,Metabolic risks,Percent of total YLDs,0,,
India,2017,All ages,Both,Other non-communicable diseases,Metabolic risks,"YLDs per 100,000",0,0,0
India,2017,All ages,Both,Other non-communicable diseases,Environmental/occupational risks,YLDs,0,0,0
