Entity,Code,Year,Period life expectancy at birth,GDP per capita,900793-annotations,Population (historical)
Afghanistan,AFG,1950,28.1563,1156,,7776133
Afghanistan,AFG,1958,31.84,1298,,8723366
Afghanistan,AFG,1959,32.3365,1307,,8869225
Afghanistan,AFG,1960,32.7987,1326,,9034994
Afghanistan,AFG,1970,37.4601,1272,,11290086
Afghanistan,AFG,1980,39.2581,1019,,13169267
Afghanistan,AFG,1990,45.1183,963,,12045622
Afghanistan,AFG,2000,55.0047,502.37274,,20130279
Afghanistan,AFG,2010,60.7018,1627.6716,,28284036
Afghanistan,AFG,2019,62.9411,2031.7373,,37856071
Afghanistan,AFG,2020,61.4537,1928.4547,,39068933
Afghanistan,AFG,2023,66.0346,,,41454709
Afghanistan,AFG,1800,,,,3280000
Afghanistan,AFG,1850,,,,3752993
Afghanistan,AFG,1900,,,,4707744
Afghanistan,AFG,1910,,,,5504191
Afghanistan,AFG,1918,,,,9529174
Afghanistan,AFG,1920,,,,10188845
Afghanistan,AFG,1930,,,,6626142
Afghanistan,AFG,1940,,,,6468510
Africa,,1950,37.2455,,,227774209
Africa,,1958,40.2405,,,271039304
Africa,,1959,41.194,,,277269259
Africa,,1960,41.3961,,,283919591
Africa,,1970,44.9859,,,365549406
Africa,,1980,49.4094,,,483048897
Africa,,1990,51.6566,,,643772468
Africa,,2000,53.667,,,830579986
Africa,,2010,58.7703,,,1072213852
Africa,,2019,62.449,,,1348002902
Africa,,2020,62.2572,,,1380818597
Africa,,2023,63.8428,,,1480767898
Africa,,1800,,,,81273172
Africa,,1850,,,,112301163
Africa,,1900,,,,138755559
Africa,,1910,,,,144068383
Africa,,1918,,,,148892208
Africa,,1920,,,,150865200
Africa,,1930,,,,169928217
Africa,,1940,,,,193310936
Africa (UN),,1950,,,,227776368
Africa (UN),,1958,,,,271041689
Africa (UN),,1959,,,,277271556
Africa (UN),,1960,,,,283921898
Africa (UN),,1970,,,,365551819
Africa (UN),,1980,,,,483051340
Africa (UN),,1990,,,,643774979
Africa (UN),,2000,,,,830582475
Africa (UN),,2010,,,,1072216450
Africa (UN),,2019,,,,1348005440
Africa (UN),,2020,,,,1380821116
Africa (UN),,2023,,,,1480770476
Akrotiri and Dhekelia,OWID_AKD,1800,,,,3710
Aland Islands,ALA,2023,,,,
Albania,ALB,1950,44.5214,1596,,1247805
Albania,ALB,1958,53.7357,2114,,1543926
Albania,ALB,1959,55.13,2201,,1594983
Albania,ALB,1960,56.4132,2313,,1649347
Albania,ALB,1970,65.2343,3194,,2181184
Albania,ALB,1980,69.903,3741,,2735375
Albania,ALB,1990,72.7096,3983,,3277919
Albania,ALB,2000,74.8262,4808.4795,,3166104
Albania,ALB,2010,78.4141,9222.973,,2928681
Albania,ALB,2019,79.4669,11715.307,,2884969
Albania,ALB,2020,77.8241,11372.541,,2871900
Albania,ALB,2023,79.6019,,,2811615
Albania,ALB,1900,,1092,,805974
Albania,ALB,1910,,1243,,881057
Albania,ALB,1800,,,,400000
Albania,ALB,1850,,,,501490
Albania,ALB,1918,,,,929879
Albania,ALB,1920,,,,941221
Albania,ALB,1930,,,,995454
Albania,ALB,1940,,,,1100833
Algeria,DZA,1950,42.6787,2176,,9018372
Algeria,DZA,1958,40.9028,2740,,10953584
Algeria,DZA,1959,40.8828,3178,,11189572
Algeria,DZA,1960,40.8388,3328,,11424876
Algeria,DZA,1970,43.328,3585,,13783680
Algeria,DZA,1980,54.5124,5024,,18607122
Algeria,DZA,1990,67.6584,4697,,25375759
Algeria,DZA,2000,70.5759,6834.5537,,30903850
Algeria,DZA,2010,74.1435,12587.744,,36188192
Algeria,DZA,2019,75.6818,14000.279,,43294503
Algeria,DZA,2020,73.2568,13086.293,,44042041
Algeria,DZA,2023,76.261,,,46164169
Algeria,DZA,1800,,,,2500000
Algeria,DZA,1850,,,,2852648
Algeria,DZA,1900,,,,4721802
Algeria,DZA,1910,,,,5497750
Algeria,DZA,1918,,,,5766569
Algeria,DZA,1920,,,,5846192
Algeria,DZA,1930,,,,6530132
Algeria,DZA,1940,,,,7739370
