"assettreat","asset_comp","isrstock","palstock","tradestock6all","age","married","faminc","religion","female","BA_or_higher","right_2013","right_2015","left_2013","left_2015","p_index_2013","p_index_2015","p_index_2016","e_index_2013","e_index_2015"
1,1,0,1,0,51,0,8000,"jewish",1,1,0,0,1,1,3.40245842933655,8.48698854446411,4.38707232475281,-1.14221282303333,-1.38544335961342
1,1,0,0,1,29,1,16000,"jewish",1,1,0,0,0,1,8.14849555492401,3.96607309579849,7.15677261352539,-2.74069726467133,-6.20252788066864
1,1,0,1,0,38,1,16000,"jewish",0,1,0,0,0,1,15.3521692752838,18.0317425727844,14.1161584854126,9.49377417564392,14.5438241958618
1,1,0,0,0,24,0,8000,"jewish",0,0,1,0,0,1,-4.0206104516983,-1.07856348156929,NA,-6.62790715694427,-7.04870104789734
1,1,0,1,0,45,0,8000,"jewish",0,1,0,0,1,1,10.3867375850677,10.8252573013306,9.38625156879425,8.31543445587158,6.61895453929901
1,1,0,1,1,28,0,8000,"jewish",0,0,0,0,0,0,-3.93856942653656,-5.42554795742035,-6.76200032234192,2.71941483020782,2.03998818993568
1,1,1,0,1,54,1,24000,"jewish",0,1,0,0,0,1,5.74617147445679,18.0317425727844,9.38625156879425,7.10370779037476,7.39394128322601
1,1,0,1,1,57,1,12000,"jewish",0,0,0,0,0,1,15.0507342815399,18.0317425727844,14.1908442974091,-12.7157068252563,-8.23731303215027
1,1,0,1,0,43,1,24000,"jewish",1,1,0,0,1,1,15.0507342815399,8.65176558494568,7.15677261352539,4.11231935024261,5.53834915161133
1,1,1,0,1,64,1,8000,"jewish",1,0,0,0,0,0,-8.66117715835571,-3.4168329834938,-7.30222105979919,-9.63368058204651,-4.66458261013031
1,1,0,0,0,43,0,3000,"jewish",1,1,0,1,0,0,10.4922080039978,-7.93469667434692,-2.57231414318085,-0.458551645278931,-9.39402997493744
1,1,0,1,1,42,1,16000,"jewish",0,1,1,1,0,0,-5.9574168920517,-5.24607539176941,-7.10679590702057,-2.79426634311676,-8.12930643558502
0,0,0,0,1,63,1,12000,"jewish",0,1,0,0,0,1,5.46816527843475,8.48698854446411,NA,-4.70693737268448,-5.6740015745163
1,1,1,0,0,40,1,12000,"jewish",1,1,1,1,0,0,-1.73550888895988,-5.76120495796204,1.84226542711258,-1.47172018885612,-4.10365879535675
1,0,0,1,0,61,1,12000,"jewish",1,1,1,1,0,0,-3.93856942653656,-10.1081895828247,-11.7611801624298,5.78243911266327,8.55015516281128
1,1,0,0,0,37,1,16000,"jewish",1,0,0,0,0,1,0.537914931774139,8.65176558494568,9.58083927631378,-3.66450518369675,-3.08271467685699
1,0,0,1,1,37,0,3000,"jewish",1,1,0,0,0,0,-6.03945791721344,-5.76120495796204,-0.147409252822399,-1.47172018885612,-3.88567626476288
1,1,1,0,1,37,0,3000,"jewish",1,0,0,0,0,1,10.6647431850433,6.31598711013794,2.08207011222839,0.341328792273998,0.554099380970001
0,0,0,0,0,28,0,8000,"no religion",0,0,0,0,0,1,-1.78236842155457,3.43930035829544,NA,2.26470336318016,NA
1,1,1,0,0,35,1,12000,"jewish",1,1,0,0,1,1,0.862780436873436,1.44528046250343,-0.072724437341094,3.82980078458786,5.98684370517731
0,0,0,0,0,43,1,8000,"jewish",0,0,0,0,0,1,-1.73550888895988,-3.24595361948013,-0.192626863718033,-1.47172018885612,10.4933834075928
1,1,1,0,1,34,1,24000,"jewish",1,1,0,0,1,1,-1.75893858075142,1.44528046250343,2.42686524987221,2.85532265901566,6.29688501358032
1,1,0,0,0,28,0,3000,"jewish",1,0,0,0,0,1,1.22282758355141,1.78952991962433,0.0471779704093933,4.27091062068939,7.86280572414398
1,1,1,0,1,30,0,0,"jewish",0,0,0,1,0,0,-1.17949679493904,3.96912395954132,-0.0718863308429718,-2.30326905846596,4.8973935842514
0,0,0,0,1,40,1,12000,"jewish",1,0,0,1,0,0,-1.37546166777611,-3.08422714471817,7.15677261352539,-7.61677026748657,-8.00288021564484
0,0,0,0,1,73,0,3000,"jewish",1,0,0,0,0,0,7.46358275413513,-3.41988414525986,7.27583646774292,3.36070448160172,-1.7792022228241
1,1,1,0,1,35,1,12000,"jewish",1,0,0,0,0,0,-1.37546166777611,1.61310866475105,-2.22668081521988,-10.1390624046326,-3.6431360244751
1,1,0,1,0,69,1,8000,"jewish",0,1,0,0,0,0,-8.66117715835571,-3.41988414525986,-7.03211069107056,-2.75798052549362,5.04861176013947
1,1,0,1,1,45,1,16000,"no religion",0,1,1,1,0,0,-1.17949679493904,3.96607309579849,NA,-1.04627214372158,NA
0,0,0,0,1,24,0,16000,"jewish",1,0,0,0,0,1,3.46106946468353,6.30739390850067,4.73186761140823,6.17990016937256,-3.71040284633636
0,0,0,0,1,29,1,12000,"jewish",1,0,0,1,0,0,-10.899418592453,-10.1081895828247,-9.26159024238586,0.691801235079765,-2.94744431972504
1,1,1,0,0,35,1,12000,"jewish",0,1,0,0,1,1,17.6724529266357,18.0317425727844,16.6157484054565,1.59832566976547,3.96358370780945
0,0,0,0,1,60,1,16000,"jewish",0,0,0,0,0,0,17.6724529266357,10.8252573013306,9.38625156879425,-4.82556134462357,-12.267382144928
0,0,0,0,1,45,0,12000,"jewish",0,0,0,1,0,0,-10.899418592453,-10.1081895828247,-11.7611801624298,9.4764906167984,8.63779246807098
1,1,0,0,1,63,1,24000,"jewish",1,1,0,1,0,0,5.39787590503693,-10.1081895828247,16.6157484054565,0.946332886815071,-1.48118853569031
1,1,1,0,1,31,0,3000,"jewish",0,0,1,1,0,0,-6.23542308807373,-0.725160911679268,2.2322778403759,5.34962832927704,-6.91024720668793
0,0,0,0,0,30,0,3000,"jewish",0,0,0,0,0,0,-6.42293453216553,-5.76120495796204,-0.148247433826327,-2.88730800151825,-5.11307716369629
1,1,0,1,0,44,1,16000,"jewish",0,1,0,0,0,0,5.82821249961853,NA,16.6157484054565,0.719787999987602,-7.52198815345764
1,1,0,1,1,42,1,24000,"jewish",1,1,1,0,0,0,17.6724529266357,8.65176558494568,16.6157484054565,-21.3031148910522,NA
1,1,1,0,1,56,1,16000,"jewish",0,1,0,0,0,1,-1.78236842155457,-1.07856348156929,-2.30304196476936,0.284078493714333,-5.80927193164825
1,1,0,1,1,69,1,12000,"jewish",0,1,0,0,1,1,8.14849555492401,18.0317425727844,9.65636193752289,4.48547512292862,6.92899584770203
0,0,0,0,0,34,1,12000,"jewish",0,0,0,0,0,0,3.12445223331451,5.96619546413422,11.6912543773651,2.78736889362335,4.98503029346466
